,county,days_not_enough_sleep,education,employment,gender,general_health,geographic_stratum,hours_slept,income,life_satisfaction,state
8623,003,188,4,7,1,3,01,7,,2,15
8624,003,101,4,1,2,2,01,8,,1,15
8625,003,201,4,1,1,1,01,7,,1,15
8626,003,288,4,1,1,1,01,5,,2,15
8627,003,177,4,2,1,1,01,6,,2,15
8628,003,103,6,3,2,3,01,8,,1,15
8629,003,103,6,2,2,1,01,8,,1,15
8630,003,130,4,3,2,3,01,6,,2,15
8631,003,430,6,1,2,4,01,6,,2,15
8632,003,105,5,1,2,2,01,6,,1,15
8633,003,114,5,1,2,2,01,6,,2,15
8634,003,188,5,1,2,1,01,7,,2,15
8635,003,110,5,1,2,2,01,6,,1,15
8636,003,388,4,7,1,1,01,8,,1,15
8637,003,188,6,2,1,1,01,8,,1,15
8638,003,188,5,7,1,2,01,6,,1,15
8639,003,188,6,1,2,1,01,7,,1,15
8640,003,888,2,1,1,1,01,7,,2,15
8641,003,188,6,7,1,1,01,6,,1,15
8642,003,188,4,7,2,5,01,8,,2,15
8643,003,188,5,7,1,3,01,8,,2,15
8644,003,388,4,1,2,3,01,9,,1,15
8645,003,102,2,7,2,3,01,77,,2,15
8646,003,330,5,1,2,3,01,7,,2,15
8647,003,188,6,1,2,2,01,6,,1,15
8648,003,288,4,1,2,3,01,6,,1,15
8649,003,102,5,6,2,3,01,8,,2,15
8650,003,314,4,7,2,4,01,5,,2,15
8651,003,188,2,4,1,3,01,6,,2,15
8652,003,188,6,7,1,2,01,8,,1,15
8653,003,188,2,7,2,1,01,8,,2,15
8654,003,305,6,1,2,3,01,7,,2,15
8655,003,102,5,1,2,2,01,7,,1,15
8656,003,102,6,1,1,2,01,4,,2,15
8657,003,488,4,4,1,1,01,14,,1,15
8658,003,288,4,1,1,3,01,6,,2,15
8659,003,104,4,4,1,2,01,6,,2,15
8660,003,105,4,5,2,2,01,7,,2,15
8661,003,125,6,1,1,2,01,6,,1,15
8662,003,315,6,1,1,2,01,7,,2,15
8663,003,188,6,1,1,3,01,8,,2,15
8664,003,315,5,2,1,5,01,10,,4,15
8665,003,288,5,6,2,3,01,6,,2,15
8666,003,188,6,7,1,3,01,5,,3,15
8667,003,102,6,7,1,3,01,7,,2,15
8668,003,106,6,1,2,3,01,8,,1,15
8669,003,405,6,1,1,1,01,7,,2,15
8670,003,120,6,1,2,3,01,5,,2,15
8671,003,130,6,7,1,3,01,7,,1,15
8672,003,188,5,7,1,3,01,6,,1,15
8673,003,188,5,1,1,3,01,6,,1,15
8674,003,188,3,7,1,3,01,8,,1,15
8675,003,188,6,1,1,2,01,7,,1,15
8676,003,101,2,7,1,3,01,8,,2,15
8677,003,120,5,5,2,2,01,6,,1,15
8678,003,101,4,1,1,1,01,8,,2,15
8679,003,415,5,1,2,3,01,7,,2,15
8680,003,330,6,6,2,3,01,7,,2,15
8681,003,107,6,5,2,3,01,7,,2,15
8682,003,305,4,2,2,1,01,10,,1,15
8683,003,204,5,6,2,3,01,7,,2,15
8684,003,188,4,7,2,3,01,6,,2,15
8685,003,188,5,1,1,3,01,5,,2,15
8686,003,288,4,1,1,3,01,6,,2,15
8687,003,188,5,7,1,4,01,7,,2,15
8688,003,188,6,7,1,4,01,8,,1,15
8689,003,288,6,3,1,2,01,8,,2,15
8690,003,120,4,1,1,2,01,4,,1,15
8691,003,288,4,1,2,3,01,8,,2,15
8692,003,188,6,2,1,3,01,7,,1,15
8693,003,277,6,7,1,3,01,7,,1,15
8694,003,288,6,7,1,1,01,7,,1,15
8695,003,104,6,5,2,2,01,6,,1,15
8696,003,421,5,7,1,2,01,9,,2,15
8697,003,308,6,1,2,1,01,6,,1,15
8698,003,188,6,1,1,2,01,7,,1,15
8699,003,112,6,1,1,1,01,6,,1,15
8700,003,407,4,1,2,5,01,8,,2,15
8701,003,188,6,7,1,5,01,8,,1,15
8702,003,388,5,1,1,1,01,7,,1,15
8703,003,105,3,7,2,2,01,6,,1,15
8704,003,120,5,1,1,2,01,6,,2,15
8705,003,188,4,1,2,1,01,7,,1,15
8706,003,188,4,7,1,2,01,8,,1,15
8707,003,120,5,7,2,2,01,7,,2,15
8708,003,188,6,7,1,1,01,8,,2,15
8709,003,230,6,1,2,2,01,8,,2,15
8710,003,288,6,7,1,2,01,7,,1,15
8711,003,188,4,1,1,3,01,6,,1,15
8712,003,488,6,7,2,2,01,7,,2,15
8713,003,702,4,1,2,3,01,7,,2,15
8714,003,107,5,2,2,3,01,10,,2,15
8715,003,104,4,7,2,3,01,7,,1,15
8716,003,105,5,2,1,3,01,6,,1,15
8717,003,188,5,8,2,3,01,6,,2,15
8718,003,202,5,1,2,1,01,7,,1,15
8719,003,488,4,7,1,2,01,8,,2,15
8720,003,102,6,1,2,4,01,6,,1,15
8721,003,215,5,1,2,4,01,7,,2,15
8722,003,112,6,7,2,2,01,5,,1,15
8723,003,415,6,1,2,3,01,6,,2,15
8724,003,130,6,7,1,2,01,4,,1,15
8725,003,188,4,6,1,2,01,6,,2,15
8726,003,288,5,7,1,4,01,6,,1,15
8727,003,107,5,1,1,4,01,4,,2,15
8728,003,128,6,1,1,1,01,5,,1,15
8729,003,188,6,1,1,3,01,7,,2,15
8730,003,202,6,1,1,3,01,6,,2,15
8731,003,101,6,1,2,1,01,8,,1,15
8732,003,488,4,1,1,4,01,8,,2,15
8733,003,305,6,1,2,2,01,5,,2,15
8734,003,188,4,1,1,3,01,7,,2,15
8735,003,130,6,2,1,5,01,5,,2,15
8736,003,115,4,1,2,3,01,6,,1,15
8737,003,116,5,1,1,2,01,5,,1,15
8738,003,105,4,2,1,3,01,6,,1,15
8739,003,320,4,6,1,2,01,4,,3,15
8740,003,188,6,1,1,2,01,4,,1,15
8741,003,188,6,1,2,3,01,8,,2,15
8742,003,310,6,2,1,3,01,4,,2,15
8743,003,103,6,1,1,2,01,7,,1,15
8744,003,388,4,2,1,4,01,8,,2,15
8745,003,110,6,4,1,4,01,6,,2,15
8746,003,188,5,7,1,3,01,8,,1,15
8747,003,130,4,6,1,3,01,6,,2,15
8748,003,188,5,6,1,4,01,9,,9,15
8749,003,202,5,7,2,3,01,6,,1,15
8750,003,188,6,1,1,1,01,7,,1,15
8751,003,103,5,1,2,2,01,7,,2,15
8752,003,188,6,1,2,3,01,8,,2,15
8753,003,103,6,2,1,1,01,8,,1,15
8754,003,188,5,1,2,3,01,7,,2,15
8755,003,188,6,7,2,3,01,10,,1,15
8756,003,128,6,7,1,4,01,5,,3,15
8757,003,303,5,6,2,3,01,7,,3,15
8758,003,188,6,2,1,2,01,8,,1,15
8759,003,188,6,7,1,1,01,6,,2,15
8760,003,188,6,1,2,2,01,6,,2,15
8761,003,188,5,7,2,4,01,5,,1,15
8762,003,188,5,7,2,2,01,7,,2,15
8763,003,105,6,1,2,2,01,7,,1,15
8764,003,130,4,1,1,2,01,6,,2,15
8765,003,102,5,7,1,4,01,6,,2,15
8766,003,103,5,1,2,2,01,7,,1,15
8767,003,130,6,7,1,4,01,6,,1,15
8768,003,188,4,1,1,2,01,7,,1,15
8769,003,888,5,1,2,3,01,8,,2,15
8770,003,130,6,1,2,3,01,5,,1,15
8771,003,102,6,3,2,1,01,7,,2,15
8772,003,188,6,1,2,2,01,7,,2,15
8773,003,188,6,7,1,1,01,7,,1,15
8774,003,212,6,1,2,2,01,6,,2,15
8775,003,288,6,5,2,1,01,7,,1,15
8776,003,110,6,1,2,2,01,6,,1,15
8777,003,103,4,1,1,3,01,8,,1,15
8778,003,188,6,7,2,2,01,6,,1,15
8779,003,188,5,7,2,3,01,7,,2,15
8780,003,188,6,1,2,3,01,7,,2,15
8781,003,110,5,1,1,3,01,5,,1,15
8782,003,115,6,2,2,1,01,7,,2,15
8783,003,188,5,7,2,4,01,9,,2,15
8784,003,188,6,7,2,3,01,16,,2,15
8785,003,188,6,1,2,2,01,8,,1,15
8786,003,488,4,7,1,4,01,6,,1,15
8787,003,288,4,7,1,3,01,8,,1,15
8788,003,188,4,1,1,3,01,8,,2,15
8789,003,112,5,1,2,2,01,6,,2,15
8790,003,188,6,1,1,3,01,8,,2,15
8791,003,128,5,1,2,4,01,4,,1,15
8792,003,188,4,7,2,3,01,5,,1,15
8793,003,188,6,7,2,2,01,5,,1,15
8794,003,115,5,2,2,4,01,7,,2,15
8795,003,188,5,7,2,3,01,6,,2,15
8796,003,205,6,1,1,1,01,6,,1,15
8797,003,488,6,1,1,2,01,6,,1,15
8798,003,188,5,8,1,4,01,8,,2,15
8799,003,115,6,1,1,1,01,7,,1,15
8800,003,120,6,1,2,2,01,5,,2,15
8801,003,288,6,1,1,1,01,8,,1,15
8802,003,102,6,1,2,3,01,8,,1,15
8803,003,188,6,7,2,4,01,9,,1,15
8804,003,188,5,1,2,3,01,7,,1,15
8805,003,110,5,7,1,2,01,6,,2,15
8806,003,112,5,1,1,2,01,6,,1,15
8807,003,330,6,1,2,3,01,6,,1,15
8808,003,188,5,8,1,3,01,7,,1,15
8809,003,102,6,1,2,2,01,8,,1,15
8810,003,103,6,1,2,2,01,7,,2,15
8811,003,188,4,7,2,3,01,7,,2,15
8812,003,103,6,7,2,2,01,8,,1,15
8813,003,102,5,1,2,3,01,8,,2,15
8814,003,130,3,8,1,2,01,6,,2,15
8815,003,188,6,1,1,1,01,6,,1,15
8816,003,110,6,1,1,3,01,4,,2,15
8817,003,188,6,2,1,2,01,8,,1,15
8818,003,103,2,7,2,5,01,7,,2,15
8819,003,120,6,1,1,1,01,5,,2,15
8820,003,188,6,1,2,1,01,5,,1,15
8821,003,105,4,1,2,1,01,8,,2,15
8822,003,888,6,7,2,1,01,6,,1,15
8823,003,188,4,7,2,2,01,5,,2,15
8824,003,130,6,1,2,3,01,6,,2,15
8825,003,188,6,7,1,3,01,7,,2,15
8826,003,188,6,2,2,2,01,7,,2,15
8827,003,188,3,8,2,4,01,8,,3,15
8828,003,388,6,5,2,5,01,8,,2,15
8829,003,102,4,7,2,4,01,5,,2,15
8830,003,102,6,7,1,1,01,7,,1,15
8831,003,288,4,1,2,1,01,9,,1,15
8832,003,188,4,7,2,2,01,6,,1,15
8833,003,488,4,1,1,2,01,6,,1,15
8834,003,430,4,1,1,3,01,9,,3,15
8835,003,121,6,1,2,3,01,4,,2,15
8836,003,114,2,8,2,3,01,12,,2,15
8837,003,188,6,1,2,3,01,6,,1,15
8838,003,188,6,1,2,1,01,7,,2,15
8839,003,188,4,7,1,2,01,8,,1,15
8840,003,305,6,1,2,1,01,7,,2,15
8841,003,188,6,1,2,4,01,8,,2,15
8842,003,188,6,2,2,1,01,7,,1,15
8843,003,188,5,7,1,3,01,7,,2,15
8844,003,103,5,7,2,3,01,7,,1,15
8845,003,103,5,1,2,2,01,5,,1,15
8846,003,215,5,1,2,2,01,8,,1,15
8847,003,115,6,1,2,2,01,7,,2,15
8848,003,207,4,1,2,3,01,8,,1,15
8849,003,102,6,2,1,1,01,7,,1,15
8850,003,188,5,3,2,1,01,8,,2,15
8851,003,405,6,7,2,3,01,7,,2,15
8852,003,388,5,1,1,2,01,6,,1,15
8853,003,430,3,1,1,3,01,12,,2,15
8854,003,188,5,6,2,2,01,8,,1,15
8855,003,188,4,7,2,3,01,7,,1,15
8856,003,305,6,1,1,1,01,6,,1,15
8857,003,107,4,7,2,1,01,7,,2,15
8858,003,188,4,1,1,4,01,6,,2,15
8859,003,188,6,1,2,2,01,7,,1,15
8860,003,220,6,5,2,3,01,5,,2,15
8861,003,303,5,4,1,3,01,7,,1,15
8862,003,108,6,1,1,2,01,7,,2,15
8863,003,103,6,7,1,2,01,6,,1,15
8864,003,102,4,1,1,1,01,8,,1,15
8865,003,188,6,1,1,1,01,7,,1,15
8866,003,107,6,1,2,2,01,6,,2,15
8867,003,110,6,1,2,3,01,8,,2,15
8868,003,488,5,2,1,1,01,7,,2,15
8869,003,130,6,1,2,4,01,5,,3,15
8870,003,188,6,2,1,2,01,8,,1,15
8871,003,388,4,1,1,1,01,6,,1,15
8872,003,288,6,2,2,4,01,9,,1,15
8873,003,110,5,1,2,2,01,7,,2,15
8874,003,104,5,7,1,2,01,6,,1,15
8875,003,188,4,7,1,1,01,5,,2,15
8876,003,203,3,1,2,3,01,6,,2,15
8877,003,188,5,7,2,2,01,7,,1,15
8878,003,188,5,2,2,3,01,8,,1,15
8879,003,310,6,1,1,3,01,6,,2,15
8880,003,105,4,1,1,3,01,5,,2,15
8881,003,102,6,1,2,2,01,8,,2,15
8882,003,188,6,2,2,1,01,8,,2,15
8883,003,103,6,1,1,1,01,6,,1,15
8884,003,215,3,1,1,3,01,7,,2,15
8885,003,188,5,7,2,2,01,7,,2,15
8886,003,326,6,1,1,3,01,7,,2,15
8887,003,188,4,7,2,1,01,8,,1,15
8888,003,303,6,2,1,3,01,7,,2,15
8889,003,404,6,1,2,2,01,7,,2,15
8890,003,188,6,2,1,1,01,6,,1,15
8891,003,105,6,1,2,2,01,8,,1,15
8892,003,105,4,5,2,3,01,6,,1,15
8893,003,110,4,1,1,2,01,5,,2,15
8894,003,305,4,1,2,3,01,7,,1,15
8895,003,188,6,7,1,3,01,6,,1,15
8896,003,188,5,2,1,2,01,8,,2,15
8897,003,203,5,7,2,3,01,7,,2,15
8898,003,330,6,1,1,5,01,9,,2,15
8899,003,288,4,7,2,2,01,6,,1,15
8900,003,201,4,6,1,3,01,7,,2,15
8901,003,105,6,1,1,4,01,5,,2,15
8902,003,188,6,7,2,2,01,5,,2,15
8903,003,110,6,7,2,2,01,7,,1,15
8904,003,105,6,7,2,3,01,7,,2,15
8905,003,188,5,1,1,1,01,7,,1,15
8906,003,188,4,6,1,1,01,9,,1,15
8907,003,288,6,5,2,2,01,8,,1,15
8908,003,120,5,1,2,1,01,5,,1,15
8909,003,101,6,1,2,2,01,8,,1,15
8910,003,128,5,4,1,4,01,4,,3,15
8911,003,188,6,1,2,2,01,7,,2,15
8912,003,188,4,7,2,3,01,6,,2,15
8913,003,303,6,7,2,4,01,7,,7,15
8914,003,230,4,2,1,3,01,4,,2,15
8915,003,888,6,7,2,2,01,7,,1,15
8916,003,488,4,1,1,2,01,7,,2,15
8917,003,102,4,7,2,2,01,6,,1,15
8918,003,130,5,5,2,1,01,5,,1,15
8919,003,130,6,1,2,2,01,6,,1,15
8920,003,188,6,7,1,3,01,5,,1,15
8921,003,188,6,1,2,2,01,7,,1,15
8922,003,188,5,7,2,2,01,6,,2,15
8923,003,188,4,7,2,3,01,7,,2,15
8924,003,188,6,1,1,2,01,7,,1,15
8925,003,105,6,1,1,2,01,6,,2,15
8926,003,188,6,7,1,2,01,8,,1,15
8927,003,230,3,5,2,3,01,7,,3,15
8928,003,107,4,8,1,3,01,8,,2,15
8929,003,188,2,7,2,3,01,5,,2,15
8930,003,188,4,7,2,2,01,6,,2,15
8931,003,288,5,7,1,3,01,8,,2,15
8932,003,188,4,8,1,5,01,7,,2,15
8933,003,288,6,5,2,3,01,99,,1,15
8934,003,102,6,1,2,2,01,6,,2,15
8935,003,304,4,1,2,1,01,8,,1,15
8936,003,188,5,5,2,3,01,6,,1,15
8937,003,188,4,7,2,4,01,8,,1,15
8938,003,106,5,7,2,3,01,6,,1,15
8939,003,815,5,1,2,3,01,7,,2,15
8940,003,103,4,7,1,1,01,8,,3,15
8941,003,188,3,5,2,3,01,9,,2,15
8942,003,130,5,6,2,3,01,5,,2,15
8943,003,104,5,1,1,1,01,6,,2,15
8944,003,188,5,7,1,4,01,8,,2,15
8945,003,121,4,3,2,3,01,6,,3,15
8946,003,288,4,7,1,3,01,7,,2,15
8947,003,130,3,3,2,1,01,5,,2,15
8948,003,188,6,7,2,3,01,6,,1,15
8949,003,305,6,1,2,3,01,6,,2,15
8950,003,305,3,2,1,3,01,7,,2,15
8951,003,188,6,2,1,3,01,5,,2,15
8952,003,188,4,7,2,2,01,8,,2,15
8953,003,188,2,7,2,3,01,5,,2,15
8954,003,420,5,8,2,4,01,8,,2,15
8955,003,202,6,5,2,1,01,6,,1,15
8956,003,115,6,1,1,2,01,7,,2,15
8957,003,188,6,1,1,1,01,5,,1,15
8958,003,188,6,2,1,2,01,7,,2,15
8959,003,188,6,2,2,3,01,8,,1,15
8960,003,188,5,1,1,1,01,8,,2,15
8961,003,288,2,8,2,3,01,7,,2,15
8962,003,210,6,1,1,3,01,5,,2,15
8963,003,106,6,2,2,3,01,6,,2,15
8964,003,204,6,1,1,2,01,6,,2,15
8965,003,188,4,7,1,3,01,10,,2,15
8966,003,702,6,7,2,3,01,7,,2,15
8967,003,430,5,1,2,3,01,5,,2,15
8968,003,188,6,2,1,1,01,7,,1,15
8969,003,320,5,8,2,3,01,6,,2,15
8970,003,388,4,3,1,2,01,6,,1,15
8971,003,288,4,7,2,4,01,7,,2,15
8972,003,188,4,1,1,3,01,8,,1,15
8973,003,110,6,1,2,1,01,7,,1,15
8974,003,188,6,5,2,2,01,7,,1,15
8975,003,125,6,1,2,3,01,6,,2,15
8976,003,188,4,7,2,3,01,5,,2,15
8977,003,105,6,1,1,3,01,6,,1,15
8978,003,103,4,3,1,3,01,5,,2,15
8979,003,188,6,7,2,3,01,7,,2,15
8980,003,188,5,1,2,3,01,7,,2,15
8981,003,188,5,7,2,2,01,6,,1,15
8982,003,102,4,1,2,1,01,9,,2,15
8983,003,103,6,7,2,3,01,6,,1,15
8984,003,188,6,7,2,5,01,8,,2,15
8985,003,112,5,1,1,3,01,7,,2,15
8986,003,188,6,7,2,4,01,9,,2,15
8987,003,188,6,1,1,3,01,6,,1,15
8988,003,127,6,1,2,2,01,4,,3,15
8989,003,888,6,2,1,3,01,8,,2,15
8990,003,103,4,8,2,4,01,8,,2,15
8991,003,488,4,1,1,2,01,8,,2,15
8992,003,488,3,2,1,2,01,7,,2,15
8993,003,188,5,2,2,4,01,6,,2,15
8994,003,115,5,6,2,2,01,5,,2,15
8995,003,415,5,1,2,3,01,6,,2,15
8996,003,402,5,2,1,3,01,4,,1,15
8997,003,114,6,6,1,1,01,7,,1,15
8998,003,105,5,5,2,2,01,9,,1,15
8999,003,305,6,2,1,4,01,7,,2,15
9000,003,188,3,7,1,4,01,7,,2,15
9001,003,105,5,7,1,2,01,5,,1,15
9002,003,130,6,7,2,2,01,7,,1,15
9003,003,188,3,8,2,5,01,4,,2,15
9004,003,110,6,1,1,1,01,5,,1,15
9005,003,115,6,7,2,3,01,6,,2,15
9006,003,188,5,7,2,3,01,6,,1,15
9007,003,115,6,1,2,1,01,7,,1,15
9008,003,188,4,8,2,5,01,11,,2,15
9009,003,288,6,1,2,3,01,8,,1,15
9010,003,303,3,1,1,4,01,6,,2,15
9011,003,188,3,1,1,1,01,6,,1,15
9012,003,103,4,7,2,2,02,6,,1,15
9013,003,220,6,7,1,2,01,5,,1,15
9014,003,105,5,2,1,3,01,8,,2,15
9015,003,188,6,7,2,1,01,6,,1,15
9016,003,288,5,4,2,2,01,7,,2,15
9017,003,130,6,1,2,3,01,6,,2,15
9018,003,202,4,1,1,1,01,6,,2,15
9019,003,105,6,7,1,2,01,8,,2,15
9020,003,215,4,1,1,3,01,6,,1,15
9021,003,215,6,2,1,3,01,4,,2,15
9022,003,188,6,1,2,1,01,7,,1,15
9023,003,288,6,1,2,2,01,7,,2,15
9024,003,130,5,1,1,4,01,4,,2,15
9025,003,188,5,2,2,1,01,8,,2,15
9026,003,188,6,1,2,1,01,8,,1,15
9027,003,188,4,8,1,3,01,12,,2,15
9028,003,230,5,2,2,2,01,5,,1,15
9029,003,188,6,7,2,5,01,9,,2,15
9030,003,104,6,1,2,3,01,6,,2,15
9031,003,188,6,5,2,3,01,9,,2,15
9032,003,188,4,7,2,3,01,9,,2,15
9033,003,188,6,7,1,5,01,7,,2,15
9034,003,288,4,4,1,3,01,9,,2,15
9035,003,315,6,1,2,2,01,8,,1,15
9036,003,488,5,7,1,1,01,6,,2,15
9037,003,103,5,5,2,4,01,7,,1,15
9038,003,188,6,7,1,3,01,7,,2,15
9039,003,188,4,5,2,3,01,5,,2,15
9040,003,102,4,1,1,2,01,7,,2,15
9041,003,315,6,5,2,2,01,7,,1,15
9042,003,188,5,7,2,3,01,7,,2,15
9043,003,403,5,1,1,2,01,7,,1,15
9044,003,188,4,7,1,3,01,7,,1,15
9045,003,328,6,6,2,1,01,3,,2,15
9046,003,488,5,1,2,3,01,8,,1,15
9047,003,203,4,7,2,2,01,9,,2,15
9048,003,188,6,2,1,1,01,7,,1,15
9049,003,188,5,1,2,2,01,8,,1,15
9050,003,188,6,7,2,3,01,8,,1,15
9051,003,188,6,7,1,2,01,5,,1,15
9052,003,188,5,7,1,2,01,8,,1,15
9053,003,188,6,7,2,3,01,4,,2,15
9054,003,188,2,7,2,3,01,6,,1,15
9055,003,115,6,1,2,1,01,6,,1,15
9056,003,101,6,7,1,3,01,5,,1,15
9057,003,110,6,7,2,3,01,6,,2,15
9058,003,320,6,1,1,3,01,6,,2,15
9059,003,288,5,1,2,2,01,7,,1,15
9060,003,188,4,7,2,2,01,6,,2,15
9061,003,188,6,7,2,1,01,7,,1,15
9062,003,288,5,1,1,2,01,7,,2,15
9063,003,488,4,1,1,3,01,8,,1,15
9064,003,188,6,1,2,2,01,8,,1,15
9065,003,188,5,7,2,2,01,10,,1,15
9066,003,188,4,1,1,1,01,7,,2,15
9067,003,106,6,7,1,2,01,8,,1,15
9068,003,302,5,1,1,2,01,7,,2,15
9069,003,188,4,1,1,3,01,5,,1,15
9070,003,101,6,7,2,1,01,7,,1,15
9071,003,388,3,7,1,3,01,7,,2,15
9072,003,130,3,7,2,5,01,5,,3,15
9073,003,102,5,7,2,2,01,7,,1,15
9074,003,188,5,1,2,1,01,8,,1,15
9075,003,405,6,1,1,2,01,7,,1,15
9076,003,110,5,1,1,3,01,6,,2,15
9077,003,115,4,1,2,4,01,6,,2,15
9078,003,101,4,2,2,4,01,8,,1,15
9079,003,202,5,4,2,1,01,7,,1,15
9080,003,102,6,7,2,5,01,7,,2,15
9081,003,304,6,5,2,2,01,7,,2,15
9082,003,101,6,7,1,4,01,5,,2,15
9083,003,106,6,1,1,1,01,6,,1,15
9084,003,188,4,7,1,2,01,9,,1,15
9085,003,177,6,4,2,3,01,7,,2,15
9086,003,130,5,1,2,2,01,6,,1,15
9087,003,130,5,4,2,2,01,9,,2,15
9088,003,188,6,1,1,1,01,8,,1,15
9089,003,288,4,1,1,3,01,8,,2,15
9090,003,388,6,7,1,1,01,8,,1,15
9091,003,488,4,7,1,1,01,5,,1,15
9092,003,188,2,7,2,3,01,6,,1,15
9093,003,104,5,1,1,2,01,6,,1,15
9094,003,120,6,1,2,3,01,7,,2,15
9095,003,103,5,1,2,4,01,7,,2,15
9096,003,188,5,1,1,2,01,8,,1,15
9097,003,402,5,3,1,2,01,9,,2,15
9098,003,388,5,1,2,2,01,8,,2,15
9099,003,102,2,7,2,3,01,6,,2,15
9100,003,130,6,5,2,1,01,5,,1,15
9101,003,188,6,1,1,3,01,8,,2,15
9102,003,188,6,1,2,2,01,6,,1,15
9103,003,177,4,7,1,3,01,5,,2,15
9104,003,330,5,5,2,2,01,5,,2,15
9105,003,188,4,1,2,3,01,6,,2,15
9106,003,188,5,7,2,3,01,8,,2,15
9107,003,230,6,1,1,3,01,5,,1,15
9108,003,188,4,1,1,1,01,9,,1,15
9109,003,108,5,1,2,3,01,7,,1,15
9110,003,230,5,1,2,2,01,6,,1,15
9111,003,188,5,7,2,4,01,9,,2,15
9112,003,188,4,7,2,4,01,6,,2,15
9113,003,188,5,7,2,4,01,7,,1,15
9114,003,188,4,7,2,2,01,8,,2,15
9115,003,103,5,1,2,2,01,8,,2,15
9116,003,230,6,5,2,2,01,5,,1,15
9117,003,188,6,4,1,3,01,7,,2,15
9118,003,188,6,1,2,3,01,10,,2,15
9119,003,188,5,2,2,3,01,8,,1,15
9120,003,188,5,6,2,2,01,7,,1,15
9121,003,130,6,7,1,2,01,6,,2,15
9122,003,405,6,1,1,3,01,6,,2,15
9123,003,101,5,2,2,3,01,6,,1,15
9124,003,188,6,2,2,3,01,8,,1,15
9125,003,104,5,7,2,5,01,7,,2,15
9126,003,188,5,1,1,2,01,7,,1,15
9127,003,188,4,1,2,4,01,6,,2,15
9128,003,388,3,7,2,2,01,7,,2,15
9129,003,105,4,7,1,2,01,8,,2,15
9130,003,188,6,7,1,1,01,8,,1,15
9131,003,115,5,1,1,3,01,5,,2,15
9132,003,101,5,7,1,3,01,6,,2,15
9133,003,105,6,1,1,3,01,6,,1,15
9134,003,115,4,1,1,3,01,6,,3,15
9135,003,130,4,7,2,3,01,10,,2,15
9136,003,205,5,3,2,2,01,7,,1,15
9137,003,188,4,7,2,1,01,6,,2,15
9138,003,228,5,1,2,2,01,7,,1,15
9139,003,305,6,1,1,3,01,6,,2,15
9140,003,330,4,1,1,5,01,6,,2,15
9141,003,288,4,1,2,3,01,9,,2,15
9142,003,130,5,6,2,1,01,6,,1,15
9143,003,130,6,2,2,4,01,7,,2,15
9144,003,108,3,1,2,4,01,5,,2,15
9145,003,110,6,1,2,2,01,6,,2,15
9146,003,188,4,7,1,2,01,6,,1,15
9147,003,288,5,7,1,3,01,9,,1,15
9148,003,125,6,1,1,3,01,6,,1,15
9149,003,188,6,1,1,2,01,8,,2,15
9150,003,188,3,1,2,2,01,8,,1,15
9151,003,102,4,2,2,3,01,7,,2,15
9152,003,101,4,1,2,4,01,7,,2,15
9153,003,130,4,1,1,3,01,6,,2,15
9154,003,110,5,1,2,2,01,7,,1,15
9155,003,110,5,7,2,4,01,5,,1,15
9156,003,188,6,1,2,2,01,7,,1,15
9157,003,188,4,2,1,3,01,8,,1,15
9158,003,888,6,3,1,1,01,6,,2,15
9159,003,188,5,2,1,2,01,8,,1,15
9160,003,105,6,1,2,2,01,5,,1,15
9161,003,120,6,1,1,1,01,6,,1,15
9162,003,120,6,1,2,2,01,7,,1,15
9163,003,177,4,7,1,5,01,9,,1,15
9164,003,102,4,7,2,2,01,7,,2,15
9165,003,207,6,1,2,2,01,7,,1,15
9166,003,188,6,7,1,3,01,6,,1,15
9167,003,888,6,1,2,1,01,9,,1,15
9168,003,188,4,7,2,4,01,6,,1,15
9169,003,188,5,7,1,3,01,6,,2,15
9170,003,425,5,8,2,4,01,5,,2,15
9171,003,188,5,7,1,3,01,5,,1,15
9172,003,101,5,7,2,4,01,7,,2,15
9173,003,188,6,1,2,2,01,6,,1,15
9174,003,104,6,1,2,2,01,7,,2,15
9175,003,488,4,1,2,1,01,8,,1,15
9176,003,288,5,7,2,2,01,7,,1,15
9177,003,220,6,1,2,1,01,6,,1,15
9178,003,288,6,7,2,3,01,8,,1,15
9179,003,188,6,7,2,3,01,9,,1,15
9180,003,106,4,4,2,1,01,6,,2,15
9181,003,188,5,1,2,2,01,8,,1,15
9182,003,188,6,1,1,1,01,7,,1,15
9183,003,103,6,1,2,2,01,7,,1,15
9184,003,188,4,1,1,4,01,8,,2,15
9185,003,405,6,2,2,4,01,9,,1,15
9186,003,288,6,5,2,1,01,8,,1,15
9187,003,188,4,7,2,2,01,8,,1,15
9188,003,188,4,7,2,3,01,5,,1,15
9189,003,110,6,1,2,1,01,8,,1,15
9190,003,188,6,7,1,3,01,8,,2,15
9191,003,188,6,1,1,2,01,8,,2,15
9192,003,188,3,7,2,4,01,7,,1,15
9193,003,130,4,1,1,1,01,6,,1,15
9194,003,388,4,7,2,3,01,8,,1,15
9195,003,188,4,1,1,4,01,7,,2,15
9196,003,115,4,1,1,2,01,6,,1,15
9197,003,288,6,2,1,1,01,7,,1,15
9198,003,105,4,1,1,2,01,7,,2,15
9199,003,125,6,1,1,1,01,6,,1,15
9200,003,188,4,7,1,4,01,10,,1,15
9201,003,188,4,1,1,3,01,6,,2,15
9202,003,125,6,1,2,3,01,6,,2,15
9203,003,188,3,5,2,5,01,8,,3,15
