,county,days_not_enough_sleep,education,employment,gender,general_health,geographic_stratum,hours_slept,income,life_satisfaction,state
143,,106,4,1,2,3,11,6,,2,13
144,,188,2,8,1,4,11,7,,7,13
145,,130,4,7,2,2,09,5,,1,13
146,,130,4,1,1,1,09,6,,1,13
147,,110,4,1,1,3,09,6,,2,13
148,,477,4,5,2,3,09,9,,1,13
149,,188,5,7,2,3,09,5,,2,13
150,,120,3,8,2,3,09,8,,2,13
151,,102,4,7,2,3,14,7,,2,13
152,,288,4,7,1,3,14,8,,1,13
153,,102,3,7,1,5,14,8,,2,13
154,,188,5,5,2,3,14,6,,2,13
155,,220,4,8,2,3,14,6,,1,13
156,,420,4,4,1,3,14,6,,2,13
157,,112,4,1,2,2,14,8,,1,13
158,,110,6,1,2,3,14,8,,2,13
159,,125,2,7,2,4,14,2,,2,13
160,,188,6,1,2,1,14,9,,1,13
161,,388,4,1,1,3,14,8,,1,13
162,,188,4,7,1,3,14,8,,2,13
163,,130,4,8,2,5,17,7,,2,13
164,,188,3,7,2,4,17,8,,1,13
165,,120,2,3,2,3,17,6,,1,13
166,,188,4,1,2,2,17,7,,2,13
167,,130,5,1,1,2,17,6,,1,13
168,,430,4,5,2,5,17,4,,4,13
169,,777,3,7,1,4,17,12,,2,13
170,,104,6,7,2,4,17,8,,2,13
171,,107,4,7,2,4,17,6,,2,13
172,,130,6,1,1,3,17,5,,2,13
173,,188,2,7,1,3,17,8,,2,13
174,,188,6,5,2,2,17,9,,2,13
175,,388,4,1,2,1,17,6,,2,13
176,,188,3,2,2,3,17,5,,1,13
177,,188,3,7,1,1,12,6,,2,13
178,,188,3,8,2,4,12,7,,1,13
179,,130,4,5,2,4,12,6,,2,13
180,,106,4,7,1,4,12,6,,1,13
181,,788,6,7,2,3,12,7,,2,13
182,,115,6,7,2,3,12,6,,1,13
183,,188,2,5,2,3,10,11,,1,13
184,,405,5,1,1,2,10,6,,2,13
185,,130,4,1,2,3,10,6,,1,13
186,,188,4,7,2,3,10,7,,2,13
187,,188,4,7,2,3,10,7,,1,13
188,,177,4,1,2,5,10,6,,2,13
189,,103,5,1,2,3,12,8,,2,13
190,,188,5,7,2,2,12,6,,2,13
191,,130,6,1,2,3,10,8,,2,13
192,,104,4,8,2,5,10,8,,3,13
193,,188,4,8,1,3,10,10,,2,13
194,,410,5,2,1,3,10,8,,2,13
195,,107,6,1,2,3,10,7,,2,13
196,,188,4,7,2,3,10,8,,1,13
197,,120,5,8,2,7,10,5,,7,13
198,,104,3,8,2,3,10,8,,2,13
199,,202,3,7,1,2,10,9,,1,13
200,,115,5,8,2,5,10,77,,3,13
201,,177,4,6,1,4,12,8,,7,13
202,,288,4,5,2,1,14,8,,1,13
203,,103,6,1,2,1,14,7,,1,13
204,,105,4,8,1,3,14,4,,2,13
205,,188,6,7,2,2,14,7,,1,13
206,,214,4,1,2,2,14,6,,1,13
207,,110,4,1,1,3,14,8,,2,13
208,,188,2,7,2,4,10,8,,2,13
209,,188,6,1,2,2,12,8,,3,13
210,,388,6,1,2,2,12,8,,2,13
211,,115,2,8,1,5,12,6,,2,13
212,,330,5,1,1,1,12,6,,1,13
213,,114,6,1,1,2,12,6,,2,13
214,,188,5,1,2,3,14,7,,1,13
215,,115,6,1,2,2,16,8,,2,13
216,,188,4,8,2,4,17,6,,2,13
217,,103,5,5,2,3,16,77,,2,13
218,,104,6,1,2,3,16,8,,2,13
219,,110,4,8,1,3,16,4,,2,13
220,,188,4,2,1,3,16,6,,1,13
221,,120,4,8,1,5,16,7,,2,13
222,,188,4,7,2,3,16,9,,2,13
223,,188,4,8,2,2,16,8,,1,13
224,,188,5,7,2,3,16,77,,2,13
225,,103,6,1,2,1,16,7,,2,13
226,,101,4,1,2,2,16,8,,1,13
227,,488,2,2,1,4,16,8,,2,13
228,,102,5,5,2,3,16,10,,2,13
229,,102,6,1,1,1,16,8,,1,13
230,,118,4,8,1,4,16,14,,1,13
231,,120,4,3,2,3,02,5,,2,13
232,,102,3,5,2,3,13,7,,1,13
233,,177,3,7,2,3,13,10,,1,13
234,,130,4,1,2,2,02,4,,1,13
235,,130,3,1,2,4,02,5,,2,13
236,,188,5,1,1,1,13,8,,1,13
237,,106,6,1,1,2,18,7,,1,13
238,,105,3,5,2,3,13,7,,2,13
239,,288,4,2,1,1,13,8,,1,13
240,,103,4,6,1,2,13,8,,1,13
241,,106,5,7,1,4,14,8,,2,13
242,,103,4,1,2,2,13,9,,2,13
243,,188,4,1,2,3,13,8,,2,13
244,,202,4,2,2,2,13,6,,2,13
245,,304,4,1,2,2,14,5,,2,13
246,,305,4,8,1,3,15,8,,2,13
247,,230,4,7,2,2,15,5,,1,13
248,,103,5,1,2,4,15,8,,2,13
249,,188,6,1,1,3,15,8,,1,13
250,,105,4,1,1,3,15,7,,2,13
251,,177,4,1,2,3,15,15,,1,13
252,,108,5,1,1,3,15,5,,2,13
253,,188,4,2,1,2,17,7,,1,13
254,,110,6,2,1,3,17,4,,2,13
255,,103,3,7,2,2,17,7,,2,13
256,,188,4,7,1,3,17,7,,1,13
257,,104,4,1,2,2,10,7,,1,13
258,,188,6,1,1,2,10,8,,1,13
259,,101,6,7,1,3,10,7,,2,13
260,,115,6,1,2,3,10,6,,2,13
261,,188,4,5,2,1,10,7,,1,13
262,,488,6,1,1,4,10,9,,2,13
263,,410,6,5,2,2,10,6,,2,13
264,,105,6,7,2,2,10,7,,1,13
265,,314,6,7,2,1,10,9,,1,13
266,,188,4,7,2,3,17,10,,2,13
267,,188,5,4,2,4,17,8,,1,13
268,,104,3,4,2,3,10,14,,2,13
269,,130,4,1,2,2,10,7,,1,13
270,,705,6,6,2,1,10,8,,1,13
271,,188,4,1,2,1,10,8,,1,13
272,,188,4,1,2,1,10,6,,1,13
273,,188,4,1,2,3,10,8,,1,13
274,,188,4,1,2,2,10,6,,4,13
275,,120,6,2,1,1,10,7,,1,13
276,,315,5,1,1,3,10,6,,1,13
277,,188,4,1,2,3,10,7,,1,13
278,,220,6,1,2,2,10,6,,1,13
279,,106,5,1,1,1,10,7,,1,13
280,,188,2,2,2,1,10,8,,2,13
281,,188,4,2,2,2,10,9,,1,13
282,,105,4,7,1,3,10,7,,1,13
283,,188,5,7,2,4,10,9,,2,13
284,,188,2,7,2,4,13,8,,1,13
285,,103,4,1,2,3,13,6,,1,13
286,,188,5,2,1,4,13,8,,2,13
287,,105,6,1,2,3,13,6,,2,13
288,,110,4,4,2,3,13,6,,2,13
289,,230,3,1,2,3,13,6,,3,13
290,,107,6,1,2,4,13,4,,1,13
291,,115,4,1,2,4,13,5,,3,13
292,,115,3,8,2,5,13,7,,3,13
293,,105,6,4,2,2,13,6,,2,13
294,,128,5,1,1,1,13,5,,2,13
295,,188,2,7,1,3,13,7,,1,13
296,,405,5,2,1,1,13,6,,1,13
297,,103,6,7,1,2,13,8,,2,13
298,,102,6,1,2,4,13,7,,2,13
299,,188,5,8,1,3,15,8,,2,13
300,,130,6,2,2,3,15,8,,1,13
301,,125,4,1,2,4,15,6,,2,13
302,,305,5,1,2,1,15,6,,1,13
303,,207,5,1,2,2,15,7,,1,13
304,,388,4,1,2,2,15,8,,2,13
305,,188,4,7,2,3,15,8,,2,13
306,,188,3,1,2,1,15,8,,2,13
307,,188,6,1,2,3,15,9,,1,13
308,,130,5,8,2,5,13,6,,3,13
309,,114,5,1,2,3,13,7,,2,13
310,,107,4,1,2,3,13,7,,2,13
311,,188,2,5,2,3,13,7,,2,13
312,,177,4,1,2,3,13,10,,2,13
313,,488,5,7,1,3,13,7,,1,13
314,,130,6,1,2,2,13,7,,3,13
315,,188,5,7,1,2,13,9,,1,13
316,,103,4,2,1,4,10,7,,2,13
317,,299,5,2,1,2,10,5,,1,13
318,,177,3,7,2,4,10,4,,2,13
319,,188,4,1,2,3,13,8,,1,13
320,,130,2,7,2,5,13,6,,2,13
321,,205,6,5,2,3,13,8,,1,13
322,,177,3,7,1,3,13,8,,2,13
323,,105,6,1,2,3,13,9,,1,13
324,,188,5,6,2,1,13,8,,1,13
325,,188,4,7,1,3,13,77,,1,13
326,,120,3,5,2,4,15,9,,2,13
327,,188,6,7,1,3,15,9,,1,13
328,,115,6,7,2,2,15,7,,1,13
329,,188,4,1,2,4,17,8,,2,13
330,,177,3,7,2,2,15,7,,2,13
331,,188,4,7,2,3,15,15,,2,13
332,,216,4,1,1,1,15,7,,2,13
333,,102,6,7,1,2,15,7,,1,13
334,,103,6,1,2,3,15,7,,1,13
335,,188,5,1,1,2,15,7,,2,13
336,,188,3,5,2,3,15,77,,2,13
337,,188,5,7,2,2,03,10,,1,13
338,,188,2,8,1,4,03,8,,1,13
339,,188,4,7,2,1,03,8,,1,13
340,,130,6,1,2,1,03,6,,2,13
341,,230,6,1,2,2,03,8,,2,13
342,,130,5,1,2,3,14,6,,1,13
343,,188,2,8,2,5,03,4,,2,13
344,,125,6,7,2,3,03,6,,1,13
345,,110,5,1,2,2,17,8,,2,13
346,,130,5,7,2,4,03,7,,2,13
347,,115,2,8,2,5,10,7,,4,13
348,,130,5,1,2,1,10,5,,1,13
349,,102,6,5,2,2,10,7,,1,13
350,,120,3,8,2,3,01,8,,1,13
351,,106,4,7,2,3,10,9,,2,13
352,,807,5,1,1,2,10,6,,2,13
353,,110,6,7,2,4,10,8,,1,13
354,,108,5,1,2,4,10,5,,3,13
